review,voted_up,created_at
W GAME,1,2026-05-17 21:06:12
good game,1,2026-05-17 20:14:24
"game with most cheaters,macro users etc.... save your nervs and health and dnot play this rubish game",0,2026-05-17 20:08:46
Just started playing and already loving the challenge. Died a lot but finally got my first few kills 😂,1,2026-05-17 20:01:11
"good
",1,2026-05-17 19:35:48
Nice,1,2026-05-17 19:34:24
"PUBG is a good, old-fashioned battle royale that we used to love back in 2017, and that I still like today—though I definitely enjoy it more with friends. 
I wanted to add that despite the bush campers, doubtful collaborations, and a gacha aspect that has become unbearable as the years have passed, I still recommend it for playing with friends because it is just so much fun.

​Thanks for reading,
See you on the battleground.",1,2026-05-17 19:06:06
laggggggggggggggg,0,2026-05-17 18:46:12
Israel cosplay,1,2026-05-17 18:31:16
The godfather of battle royale,1,2026-05-17 18:29:45
"Unknown Cheater Battleground

",0,2026-05-17 17:17:06
"Love it, dream about playing it since 8 years ago.",1,2026-05-17 17:05:32
96,1,2026-05-17 16:12:24
loving it,1,2026-05-17 16:00:32
Pretty neat OG battle royale.,1,2026-05-17 15:01:10
fun game,1,2026-05-17 14:44:29
NICE PUBG,1,2026-05-17 14:07:56
"If you are coming from console don't even bother playing. You cant cross progress or even get your items from console account over to your Steam account. They want you to spend the money again or are just to lazy with all the money they are getting to put in the time and effort needed to make the changes happen. 

Take it from someone that has made this mistake. Now all my items are lost.",0,2026-05-17 13:58:13
too many cheater nowadays,0,2026-05-17 13:47:34
i like this game,1,2026-05-17 13:16:17
best,1,2026-05-17 11:50:12
"very slow animated T.T,,,..... graphics and detailing is to the peak ...",1,2026-05-17 11:24:38
"Why, when I select a 4-player match, do I sometimes get placed into teams with only 3 players — or even just 2 players including myself — while still being matched against full teams of 4 players?",1,2026-05-17 10:31:35
"BUGGY, ILLEGAL HACKING, ILLEGAL SMURFING, BAD PLAYERS, WEATHWER BAD",0,2026-05-17 08:48:32
"Buggy, illegal hacking, illegal smurfing, bad players, weather bad",0,2026-05-17 08:46:44
buggy lome illegal handking illegal smurfing illegal bed player south korea bot kool country,1,2026-05-17 08:46:31
"cheater games!
",0,2026-05-17 08:20:30
"Prob the worst game ever made. If you'd like a skin good luck, you'll end up spending more than $100 to get what you actually want. Total scam. No a great game anymore, just a cash snacther sofware.",0,2026-05-17 07:31:02
"okay game not very enjoyable especially with all the sweat in game
",0,2026-05-17 07:28:15
puubgeee buntul gruend,1,2026-05-17 07:24:56
Winna Winna Chicken Dinner!,1,2026-05-17 07:03:00
"It's strange how Pubg has been out for so long now and is one of the few battle royals that is actually still alive and well.

To me it feels very similar to when I used to play on Xbox when it first came out, and I think that's why it's done well.

They haven't changed the formula. Fortnite, Warzone, H1Z1, all changed the formula and fell of a cliff. This game hasn't.

Still gets my heart racing every time.",1,2026-05-17 06:31:25
"good
",1,2026-05-17 05:32:04
"Estava com 9 horas de jogo, me divertindo bastante até, mas um dia matei um jogador aleatório, e tomei  um ban de 1 dia por cheats/hacks. Por acaso matei um dev? Esse game sai distribuindo bans gratuitos? Isso é ridículo",0,2026-05-17 05:25:43
.,1,2026-05-17 05:22:35
111111111111111111,1,2026-05-17 04:55:52
Getting ♥♥♥♥♥♥ left and right,1,2026-05-17 04:51:16
NICE,1,2026-05-17 04:06:44
Yes.,1,2026-05-17 04:00:51
♥♥♥♥ game for ♥♥♥♥ eating indians,0,2026-05-17 03:32:42
First Match Killed by 400+ lvl Player Started Few other Matches Gets Killed by 100+ lvl Player,0,2026-05-17 03:16:26
alan walker,1,2026-05-17 03:04:10
"soumyadeep chamar, or nang ankita r biye hoye gechey.
",0,2026-05-17 02:56:07
good game for who dont pay,1,2026-05-17 02:48:07
ok,1,2026-05-17 02:34:40
do mooooooooooga,1,2026-05-17 01:54:47
Да не,1,2026-05-17 01:54:15
Mast game h,1,2026-05-17 01:41:01
"sexy
",1,2026-05-17 01:12:28
yes🙃,1,2026-05-17 01:12:07
Unbalanced ♥♥♥♥ with fun,0,2026-05-17 01:10:46
I like this game but to me its only fun with friends.,1,2026-05-17 00:52:07
GAME GATEL,0,2026-05-17 00:08:40
"You wait three minutes for the battle to start. You wait for the plane to approach the target location. You jump out of the plane. You fly. You land on the map and pick up your weapon. After that, there are two possible outcomes:
1. You get killed in the first minute of the game. You exit from battle with 0 damage. You wait for the battle to start again.
2. You run for 20 minutes. Then you get killed by a level 500+ player. You exit from battle with 0 damage. You wait for the battle to start again.

10 out of 10 wait times
0 out of 10 hits to the enemy
0 damage dealt to the enemy",0,2026-05-16 23:50:37
kontol bagus banget,1,2026-05-16 22:17:43
"Used to be a good game but with so many cheaters, silly anti cheat system and terrible rotation maps have made the game not playable!",0,2026-05-16 22:08:50
"I like jank. But this? Too much jank and AI used quite badly. Controls and mechanics feel unpolished, which for a game this old and popular I just don't understand. Main menu is cluttered and overwhelming.

Only tried this out due to the Payday collab. I don't get the point of doing a collab and replacing the poster boy of the franchise, Dallas, with a horribly rendered AI image.",0,2026-05-16 22:01:22
"1. You drop
2. Loot for 15 minutes
3. Get insane loot
4. Die to a 500th LVL player",1,2026-05-16 21:09:57
the best game with great graphics must try this game you guys,1,2026-05-16 20:43:28
Full of lags and crashes in menu,0,2026-05-16 20:12:25
I love it,1,2026-05-16 19:57:53
Game Bagus,1,2026-05-16 18:28:05
game lon bien thai vcl,1,2026-05-16 18:05:41
gg,1,2026-05-16 17:59:17
Horrible experience as new player,0,2026-05-16 17:55:53
Trash krafton kinda just destroys everything they touch,0,2026-05-16 17:40:24
"10/10
If you want to ruin your day",1,2026-05-16 17:13:36
It's 2026 and the game is still riddled with cheaters. Depressing really,0,2026-05-16 16:50:39
make airdrops worth to get pls,1,2026-05-16 15:45:40
Its nice to come play a slower pace game.,1,2026-05-16 15:41:14
for true gamers,1,2026-05-16 14:49:59
"is so good
",1,2026-05-16 14:13:48
I played this game years ago cause a friend bought it for me and now it's funny to see it's chinese mobile slop,0,2026-05-16 14:08:37
"GOAT 
",1,2026-05-16 13:48:27
"fun, not racist",1,2026-05-16 12:56:58
Yawa a aning duwa a oy,1,2026-05-16 11:06:31
this game is hard but you will get better and better and it will be fun for you like it is for me.,1,2026-05-16 10:14:42
"my average is 5.5 hours per day rn
I'm absolutely not addicted))",1,2026-05-16 09:07:11
XYETA,0,2026-05-16 09:05:50
KIM DAHA SABIRLA YATARAK BEKLEYECEK OYUNU,0,2026-05-16 08:43:07
it shows goods,1,2026-05-16 08:08:12
"Good gamee
",1,2026-05-16 07:48:44
"Fun game to play with a party, can be as casual or sweaty as you want it to be. 
However, no Linux support is a big con",1,2026-05-16 07:26:55
L,1,2026-05-16 06:34:51
i realy realy realy like this update where you can shoose your map i played this game for m10 years now i loveeeeeeeeeeee  Erangel and this makes it so i can play Erange al ever,1,2026-05-16 06:11:45
The PayDay game mode is pretty decent fun. Fair play to everyone involved with that. Would love to see more of it.,1,2026-05-16 06:00:40
luv it,1,2026-05-16 05:57:21
💩,0,2026-05-16 05:17:29
no no recomendation,0,2026-05-16 05:13:46
"If you can make it past the first 300 hours of getting wrecked by lvl500s with over 5000 hours in the game, you'll have fun.",1,2026-05-16 04:14:40
Liked.,1,2026-05-16 04:12:38
Nice,1,2026-05-16 03:54:43
صص,1,2026-05-16 03:22:41
Minecraft'tan sonra gelen en iyi battleroyale oyunudur. 300 saat 20 FPS ve altinda oynatmayi basardiysa bu oyun olmus demektir.,1,2026-05-16 02:49:15
GOOD,1,2026-05-16 02:25:53
"ok
",1,2026-05-16 02:16:52
Still one of my fvt game,1,2026-05-16 01:53:13
gg,1,2026-05-16 01:52:50
gg,1,2026-05-16 01:52:46
too much hackers,0,2026-05-16 01:51:07
nice,1,2026-05-16 01:50:14
so much slow and mic issue.,0,2026-05-16 01:48:42
good,1,2026-05-16 01:36:46
im wainting for a 2 hours update to play,0,2026-05-16 01:35:10
Goooodd,1,2026-05-16 01:13:11
"70% of players have problems launching the game. The ""black smoke"" splash screen issue at startup and after a match has been unresolved for three years now. All online solutions for this issue are no longer effective, with the possible exception of third-party apps!",0,2026-05-16 01:11:30
gg,1,2026-05-16 01:02:55
"The battle royal that started the craze. It thought it was decent, but compared to today's battle royals, there are multiple ones better ones today and they are free.",0,2026-05-16 01:02:25
good,1,2026-05-16 01:01:31
bombanesh,1,2026-05-16 00:49:55
i am india,1,2026-05-16 00:19:26
The graphics are poor on a high-end PC with ultra settings! The trees are blurry and pixelated even at 150 meters! I expected more from the game.,0,2026-05-16 00:15:55
♥♥♥♥♥,1,2026-05-16 00:15:13
Harika,1,2026-05-16 00:07:40
"PUBG is fun because it keeps things simple, no superpowers or futuristic mechanics, just good gunplay, positioning, and smart fights.
",1,2026-05-15 23:53:40
someone buy me ranked :(,1,2026-05-15 23:24:21
Very Good,1,2026-05-15 22:34:01
Its aight,1,2026-05-15 22:14:37
GG,1,2026-05-15 21:43:55
Яна Сво,1,2026-05-15 21:36:39
"My friends, I'm aboard an Mi-6 helicopter. This is the beginning of my vacation in Cambodia. I'm about to parachute. I'll let you know the landing location and subsequent deployment later.",1,2026-05-15 21:11:18
masih lemot anjing,1,2026-05-15 19:50:33
The game is all about realism...But the most popular mode is from the third legal entry.,1,2026-05-15 19:44:18
umm 3 hours playtime in in 3 hours get it get it ok its a rally cool br game but its js too f...ing hard too find ammo and i suck ofc,1,2026-05-15 19:36:16
fun if i liked getting graped by 18 blackmen and a dildo up my ass 18 hours a day,1,2026-05-15 19:09:52
good,1,2026-05-15 18:53:05
i love game good game,1,2026-05-15 18:36:46
"You gave Harley 33 days and Eve an extension, but aespa it's only 12-13 days? without even garantee pulling an avatar skin nah, bye.",0,2026-05-15 18:22:40
"♥♥♥♥♥♥♥♥♥ game ive ever played, each time i q up there is only sweats no fun im dropping and getting killed 3 minutes in the match",0,2026-05-15 17:30:58
W,1,2026-05-15 17:26:34
game good,1,2026-05-15 16:36:12
"Ini game bagus, top tier S GOTY se Eropa hingga Asia Tenggara. Aku harap Tencent dan garena kasih update collab dengan Jhonny s.",1,2026-05-15 16:32:14
"Nice Game 
",1,2026-05-15 16:31:50
"I love PUBG and hate it at the same time
I've been oversea for about 1 month then came back to Sydney for about 2 weeks 
this game still calling me more than CS2 
PUBG remind me of a lot of bad memories

Live UPDATE of me with PUBG
: Lost skills, senses, and more 
: Heavy angry affect from dies in games
: Get depresses from team deathmatch 
: Cry about how did i miss the shot
: And more
Still love this game

VASKO From Sydney",1,2026-05-15 16:12:52
"垃爆了 老误封
、",0,2026-05-15 15:49:45
All the good times I'v ehad are incredibly overshadowed by the SIX games in a row I was solo-queued into a DUOS lobby. WTF is the point,0,2026-05-15 15:42:02
"I mean it’s still exactly the same which can be a good or a bad thing depends on who you ask. 

The biggest weakness is balance in matches playing in lobbies with level 60-200 level players who shoot you from halfway across the map isn’t fun for new comers or returning players.  

It’s still one of the biggest and better br out there.",0,2026-05-15 15:40:09
best game to buy cheat and feel like Shooter-GOD this company not even try to do something about this . waste of money and time . Full of cheaters !!!,0,2026-05-15 13:44:55
bobo,0,2026-05-15 13:26:18
"Don't use rifles, try maining a car & pistol. (Bonus points for a bicycle.)

This game has a learning curve, but highly rewards skill if you get the hang of it. Plus it's just fun and goofy if you let it be. The 4 (or 2) person team means that even if you suck, you can still succeed. Or suck.",1,2026-05-15 13:00:26
AKM,1,2026-05-15 12:53:34
"Cheater, cheater, pumpkin eater. Rampant in this game during times where the sun shines across the eastern part of the world. Other times, great gameplay.",1,2026-05-15 12:34:51
the besty,1,2026-05-15 12:25:23
Still too many cheaters and they do not do anything about it.   There is a vid about a guy cheating for 272 days and still not banned... it tells you Krafton is getting kickback from the cheat programs or is the owner of the cheat programs,0,2026-05-15 12:14:59
good,1,2026-05-15 12:13:47
fun,1,2026-05-15 11:27:02
,1,2026-05-15 09:19:58
"World of campers, hf playing against",0,2026-05-15 08:39:41
 gg,1,2026-05-15 07:18:25
"Just pure fun. I just wish they'd reduce the amount of loot that can be found in the game, as it take the anxiety of the jump out of the game. Finding two lvl 3 vest, 2 to 3 kar98. etc, next to one another is just plain ridiculous, lol. Otherwise, great game as always.",1,2026-05-15 07:09:40
NOT FUN GAME THAT YOU KNOW !,0,2026-05-15 06:05:22
its a great shooter,1,2026-05-15 05:42:38
you get mental isuses when pling this game but is super fun sometimes,1,2026-05-15 05:40:28
Kkkida,1,2026-05-15 05:23:32
"The owner of Krafton is a greedy, selfish ♥♥♥♥♥♥♥ (dyor). Play the game, DO NOT spend any money.",1,2026-05-15 04:58:54
its okay.,1,2026-05-15 04:54:44
"Отличная игра, кроме отличного настоения от геймплея, PUBG еще учит коммуникациям в команде",1,2026-05-15 04:39:12
"bohot tatti game hay na karna download recoil control kartay huay he gand phat jati hay 
",1,2026-05-15 04:33:53
"elaaaaaaa
",1,2026-05-15 04:19:29
"Still a ton of cheaters with the new update. Aimbot is still rampant and no bans are going out after reports are made. Besides the cheats, its's fun... just fix that junk already!!!",1,2026-05-15 03:55:00
Fast reaction on banning cheaters,1,2026-05-15 03:49:51
This game is good af,1,2026-05-15 03:33:28
"One day, i woke up and  decided  to play  this game with my friend, we got our guns AR/SR and  whent  to fight ,  the second we started stooting from long range, we knew this game is ass, when you  have your sights on the guys head  while   shoot a high caliber gun at a guy that's rufly 100- 150 m  just to see that bullet  go down  like  Bony Blues Kid's rep in school after they find out  who there mother is, o and don't even touch the AR's  the sec you fire  your camara for to space, a lot of cheaters/ flying cars,  and the game feels do dull no action at all, it fells like it's a walking simulator, then when you get in to a fight  you  get deleted  in 0.0001's  with  a  gun that has infinite recoil which when you  use it you just kill the air then the player, all in all, this game displays it's self as a ""realistic battel royal"", yee the only realistic thing in the game is the dmg you get when you hit a wall when riding a car, other then that  the so called erectile dysfunction bullet droop,  the RNG on the bullet spread and the trash Moderation. Over all  1/10 would not recommend for beginners to a shooter game it's just trash there are better Battel royal games then this  just play PUBG MOBILE 10000% more fun or any game other then this.",0,2026-05-15 03:03:04
yess,1,2026-05-15 02:58:08
I really like the battle royale,1,2026-05-15 02:26:19
nice,1,2026-05-15 02:08:22
Pure trash nowadays,0,2026-05-15 01:41:24
apex,1,2026-05-15 01:37:04
"Classic
",1,2026-05-15 01:29:53
good,1,2026-05-15 00:38:07
อัพเดตเหี้ยไรนักหนากูจะเล่นเกม,0,2026-05-14 23:59:15
very awesome cooling,1,2026-05-14 23:47:18
best games ever,1,2026-05-14 23:45:27
Harambe,1,2026-05-14 23:33:25
very cool,1,2026-05-14 23:20:24
Game is NOT worth the download speeds.,0,2026-05-14 22:35:23
2만원을 썻는데 한개도 안뜸 펍지 망해라 ㅗㅗㅗㅗ,0,2026-05-14 22:25:22
cool game very cool and fun laggy at times but probably cause my lack of ram,1,2026-05-14 22:10:26
"My favorite battle arena game. I keep coming back to it.
However, after making the VSS louder, I'm less and less interested in playing. You've ruined the whole silent mode experience... Bring back the silent VSS and I'll change my review.",0,2026-05-14 21:35:33
aaaaaaaaaaaaauuuuuuuuuuu,1,2026-05-14 21:11:25
Great fun with friends honest best boots on the ground battle royale the all time great,1,2026-05-14 21:02:23
"Hi, I enjoyed playing this game right until couple of recent updates, my audio was mess up for some reason. Distorted/garbled sound on my headphone whenever this game is launched. I can no longer game while playing music on the back ground.  Worst, spatial sound no longer works, which make a huge difference when playing this game.",1,2026-05-14 19:30:56
55454,1,2026-05-14 19:28:21
"3.6/15000
horrible",0,2026-05-14 19:00:04
asdfg,1,2026-05-14 18:45:33
This Game Fing Sucks,0,2026-05-14 17:43:55
 I make white kids mad all day 😹,1,2026-05-14 16:44:38
amazing great game,1,2026-05-14 16:41:43
Great game,1,2026-05-14 16:40:32
"Fun, action filled, and strategic. Every match feels like a new adventure and I enjoy the variety in the gun play and maps. Squads is incredibly fun with friends whether you want to go for the chicken dinners or simply goof off! Very fun, and would definitely recommend!",1,2026-05-14 16:24:09
Super game,1,2026-05-14 15:48:13
"very interactive and realistic
",1,2026-05-14 15:38:39
"FUN WITH THE RIGHT GROUP OF PLAYERS
",1,2026-05-14 15:06:05
PLEASE ALLOW THE BANK HEIST MUSIC TO BE TURNED OFF . WTF  GAME IS 5 / 5,1,2026-05-14 14:21:35
